sector,week_end_date,weekly_avg_close,revenue_ttm,eps_ttm,fcf_ttm,net_income_ttm,rev_qoq,rev_yoy,eps_qoq,eps_yoy,market_cap,pe_ttm,ps_ttm,fcf_yield_ttm,ret_1w,ret_4w,ret_12w,sma_4w,sma_12w,sma_24w,price_vs_sma_4w,price_vs_sma_12w,price_vs_sma_24w,Gross Margin %,Operating Income %,Net Profit %
Healthcare,2025-02-07,146,6530000000.0,4.36,3314000000.0,1259000000.0,-0.0118,0.012,-0.0976,-0.0593,42013030322.2656,33.575,6.4338,0.0789,-0.0197,0.0746,0.1195,147.5185,139.1959,138.4499,-0.0077,0.0517,0.0573,0.5348,0.232,0.1892
Healthcare,2025-02-14,138,6530000000.0,4.36,3314000000.0,1259000000.0,-0.0118,0.012,-0.0976,-0.0593,39624622418.2129,31.6663,6.0681,0.0836,-0.0568,-0.0348,0.0755,146.2738,140.0034,138.3585,-0.0561,-0.0138,-0.0021,0.5348,0.232,0.1892
Healthcare,2025-02-21,135,6530000000.0,4.36,3314000000.0,1259000000.0,-0.0118,0.012,-0.0976,-0.0593,38825870929.718,31.0279,5.9458,0.0854,-0.0202,-0.106,0.001,142.2645,140.0147,138.2936,-0.0491,-0.0338,-0.0218,0.5348,0.232,0.1892
Healthcare,2025-02-28,131,6530000000.0,4.36,3314000000.0,1259000000.0,-0.0118,0.012,-0.0976,-0.0593,37587601643.3716,30.0384,5.7561,0.0882,-0.0319,-0.1229,-0.0536,137.6752,139.397,138.0681,-0.0487,-0.0605,-0.0514,0.5348,0.232,0.1892
Healthcare,2025-03-07,125,6530000000.0,4.36,3314000000.0,1259000000.0,-0.0118,0.012,-0.0976,-0.0593,35888849449.1577,28.6808,5.496,0.0923,-0.0452,-0.1458,-0.1085,132.3405,138.1287,137.5201,-0.0551,-0.0947,-0.0907,0.5348,0.232,0.1892
Healthcare,2025-03-14,120,6530000000.0,4.36,3314000000.0,1259000000.0,-0.0118,0.012,-0.0976,-0.0593,34299621107.4829,27.4108,5.2526,0.0966,-0.0443,-0.1344,-0.1073,127.702,136.9311,136.5913,-0.0641,-0.1272,-0.125,0.5348,0.232,0.1892
Healthcare,2025-03-21,121,6530000000.0,4.36,3314000000.0,1259000000.0,-0.0118,0.012,-0.0976,-0.0593,34729727848.8159,27.7545,5.3185,0.0954,0.0125,-0.1055,-0.0998,124.134,135.813,135.5919,-0.0252,-0.109,-0.1075,0.5348,0.232,0.1892
Healthcare,2025-03-28,119,6530000000.0,4.36,3314000000.0,1259000000.0,-0.0118,0.012,-0.0976,-0.0593,34114230738.8306,27.2626,5.2242,0.0971,-0.0177,-0.0924,-0.1101,121.1084,134.5873,134.594,-0.0185,-0.1168,-0.1169,0.5348,0.232,0.1892
Healthcare,2025-04-04,111,6530000000.0,4.36,3314000000.0,1259000000.0,-0.0118,0.012,-0.0976,-0.0593,31980268637.085,25.5572,4.8974,0.1036,-0.0626,-0.1089,-0.182,117.7037,132.5209,133.4159,-0.0533,-0.1592,-0.1648,0.5348,0.232,0.1892
Healthcare,2025-04-11,102,6530000000.0,4.36,3314000000.0,1259000000.0,-0.0118,0.012,-0.0976,-0.0593,29301993185.4248,23.4169,4.4873,0.1131,-0.0837,-0.1457,-0.2862,113.3504,129.1087,132.1801,-0.0993,-0.2092,-0.2276,0.5348,0.232,0.1892
